Name,Quarter,Designer,Chip type,Start date,End date,Logic cost (USD) (median),CoWoS cost (USD) (median),HBM cost (USD) (median),Auxiliary cost (USD) (median)
AMD MI300X Q1 2026,Q1 2026,AMD,MI300X,1/1/2026,3/31/2026,625149.253,2889578.769,8312631.379,3688833.558
AMD MI325X Q1 2026,Q1 2026,AMD,MI325X,1/1/2026,3/31/2026,2836813.17,13112380.88,77293083.12,20499822.47
AMD MI350X Q1 2026,Q1 2026,AMD,MI350X,1/1/2026,3/31/2026,4192290.865,15668687.11,103426661.3,25859859.31
AMD MI355X Q1 2026,Q1 2026,AMD,MI355X,1/1/2026,3/31/2026,8070452.693,30163316.94,185867701.5,66383063.2
Amazon Trainium2 Q1 2026,Q1 2026,Amazon,Trainium2,1/1/2026,3/31/2026,38716361.24,63494832.43,206042587.6,156220941.2
Google TPU v6e Q1 2026,Q1 2026,Google,TPU v6e,1/1/2026,3/31/2026,10180371.77,13858233.07,21548615.69,41280424.19
